Intersections_Entries,Longitude,Latitude,Altitude,Origin
0,4.077784239182605,-0.6638412391242295,-146.67320875104951,true
1,4.067234811370789,-0.6789113174596676,-153.80671383841354,false
2,4.069183038818581,-0.672442539351713,-153.55230672442318,false
3,4.065716312601451,-0.6839532375127555,-153.98825593773964,false
4,4.0687504999900455,-0.6738787170259097,-153.61087525907328,false
5,4.062670853332369,-0.6940651398645284,-154.30812799248156,false
6,4.068144561262317,-0.6758906404937591,-153.6909211289611,false
7,4.0581308916586,-0.7129696237363077,-151.7815960258497,false
8,4.069183043399824,-0.6715824050481036,-154.18432955565447,false
9,4.068750505339003,-0.6728749622662829,-154.34915461404847,false
10,4.068144567687951,-0.6746856897407348,-154.57840267481504,false
11,4.0672348194158685,-0.6774042937990057,-154.9189699191617,false
12,4.065716323357131,-0.6819420138621052,-155.47773481309574,false
13,4.062670869553337,-0.6910427127010563,-156.56185527539273,false
14,4.0581309198019815,-0.7080567722927598,-155.49165917965894,false
15,4.069183047974856,-0.6707222704559871,-154.81596063953242,false
16,4.068750510680258,-0.6718712071130601,-155.08690047403013,false
17,4.067234827447522,-0.6758972692447329,-156.03002340390498,false
18,4.0681445741038385,-0.6734807384187769,-155.46511541628308,false
19,4.062670885735732,-0.6880202818672415,-158.81074532301156,false
20,4.065716334092441,-0.679930788608481,-156.9650717700838,false
21,4.058130947864323,-0.7031439117198917,-159.18894090217987,false
22,4.068750516013902,-0.670867451564216,-155.8241128407543,false
23,4.069183052543643,-0.6698621355739154,-155.44719997837177,false
24,4.068144580509797,-0.6722757865254538,-156.35105935664438,false
25,4.067234835465751,-0.6743902437931804,-157.1398742982373,false
26,4.058130975844122,-0.698231042031778,-162.87344125070078,false
27,4.065716344807129,-0.6779195617469481,-158.45026681757676,false
28,4.06267090187979,-0.6849978473564237,-161.05479815346968,false
29,4.069183057106182,-0.6690020004004016,-156.07804757294397,false
30,4.06875052133989,-0.6698636956178614,-156.5607917173073,false
31,4.068144586906008,-0.671070834057972,-157.23623449859943,false
32,4.067234843470471,-0.6728832174407496,-158.2485226054377,false
33,4.058131003742882,-0.6933181632364875,-166.54516027961668,false
34,4.065716355501323,-0.6759083332720238,-159.93331996367604,false
35,4.062670917984801,-0.6819754091632708,-163.29401378528448,false
36,4.069183061662473,-0.6681418649339594,-156.7085034247922,false
37,4.0681445932924705,-0.6698658810137412,-158.12064084427,false
38,4.068750526658172,-0.6688599392720856,-157.29693710407477,false
39,4.067234851461851,-0.6713761901836185,-159.35596833110012,false
40,4.058131031560101,-0.6884052753460912,-170.20409804583025,false
41,4.0657163661750175,-0.6738971031784163,-161.4142312157115,false
42,4.06267093405171,-0.6789529672802235,-165.52839223658776,false
43,4.068750531968798,-0.6678561825249162,-158.03254900414305,false
44,4.06918306621248,-0.6672817291731177,-157.33856753584539,false
